蜌,3 5 3 ,3 5 3 ,2 2 2 1 ,1 2 1 3 ,0.4140625 0.5 0.29296875 0.1875 
煠,6 2 5 ,6 2 5 ,4 2 2 3 ,1 1 3 2 ,0.3984375 0.3046875 0.484375 0.3671875 
孪,2 1 1 ,2 1 1 ,1 1 1 1 ,2 2 3 2 ,0.29296875 0.0 0.3125 0.0 
嫲,4 5 7 ,4 5 7 ,2 2 3 4 ,1 3 2 1 ,0.32421875 0.3359375 0.33203125 0.375 
涷,1 3 4 ,1 3 4 ,1 1 2 3 ,0 1 3 2 ,0.25390625 0.34375 0.29296875 0.375 
烫,2 4 3 ,2 4 3 ,2 1 2 2 ,2 3 2 3 ,0.3828125 0.31640625 0.28515625 0.37109375 
亾,2 3 3 ,2 3 3 ,1 1 2 1 ,0 2 0 2 ,0.27734375 0.6875 0.0 0.484375 
礘,3 5 5 ,3 5 5 ,2 1 3 2 ,2 1 4 3 ,0.46484375 0.2578125 0.52734375 0.4140625 
藼,2 1 1 ,2 1 1 ,1 1 1 1 ,4 3 4 4 ,0.33984375 0.30078125 0.3515625 0.34765625 
钃,6 6 8 ,6 6 8 ,4 3 5 4 ,3 3 3 5 ,0.3671875 0.4375 0.5 0.57421875 
瓶,2 4 5 ,2 4 5 ,1 1 2 3 ,1 1 2 2 ,0.37890625 0.32421875 0.29296875 0.56640625 
熗,6 3 4 ,6 3 4 ,4 2 4 1 ,1 1 3 3 ,0.41796875 0.3046875 0.203125 0.51171875 
籴,2 3 3 ,2 3 3 ,1 1 2 2 ,2 2 2 2 ,0.0234375 0.34375 0.0625 0.34765625 
僦,2 6 6 ,2 6 6 ,1 1 3 3 ,2 1 1 1 ,0.29296875 0.41015625 0.30078125 0.46484375 
鐵,2 4 6 ,2 4 6 ,2 1 4 3 ,3 3 1 2 ,0.359375 0.453125 0.48046875 0.578125 
魚,2 1 2 ,2 1 2 ,1 1 1 1 ,3 2 3 2 ,0.16015625 0.32421875 0.03125 0.30859375 
馬,2 2 5 ,2 2 5 ,1 1 3 3 ,3 2 3 3 ,0.5078125 0.296875 0.51953125 0.625 
繜,4 3 4 ,4 3 4 ,2 2 4 1 ,2 1 2 4 ,0.26953125 0.50390625 0.484375 0.5 
癀,4 2 4 ,4 2 4 ,3 2 2 2 ,1 1 1 4 ,0.2109375 0.3359375 0.30859375 0.50390625 
蝀,4 6 5 ,4 6 5 ,3 1 2 3 ,1 2 3 1 ,0.39453125 0.37109375 0.25 0.2578125 
讀,0 1 3 ,0 1 3 ,0 0 3 1 ,3 2 3 4 ,0.44140625 0.37890625 0.3515625 0.51953125 
